Best solution in generation 319 is:  f(x) = 33.0
Best solution in generation 320 is:  f(x) = 33.0
Best solution in generation 321 is:  f(x) = 33.0
Best solution in generation 322 is:  f(x) = 33.0
Best solution in generation 323 is:  f(x) = 33.0
Best solution in generation 324 is:  f(x) = 33.0
Best solution in generation 325 is:  f(x) = 33.0
Best solution in generation 326 is:  f(x) = 33.0
Best solution in generation 327 is:  f(x) = 33.0
Best solution in generation 328 is:  f(x) = 33.0
Best solution in generation 329 is:  f(x) = 33.0
Best solution in generation 330 is:  f(x) = 33.0
Best solution in generation 331 is:  f(x) = 33.0
Best solution in generation 332 is:  f(x) = 33.0
Best solution in generation 333 is:  f(x) = 33.0
Best solution in generation 334 is:  f(x) = 33.0
Best solution in generation 335 is:  f(x) = 33.0
Best solution in generation 336 is:  f(x) = 33.0
Best solution in generation 337 is:  f(x) = 33.0
Best solution in generation 338 is:  f(x) = 33.0
Best solution in generation 339 is:  f(x) = 33.0
Best solution in generation 340 is:  f(x) = 33.0
Best solution in generation 341 is:  f(x) = 33.0
Best solution in generation 342 is:  f(x) = 33.0
Best solution in generation 343 is:  f(x) = 33.0
Best solution in generation 344 is:  f(x) = 33.0
Best solution in generation 345 is:  f(x) = 33.0
Best solution in generation 346 is:  f(x) = 33.0
Best solution in generation 347 is:  f(x) = 33.0
Best solution in generation 348 is:  f(x) = 33.0
Best solution in generation 349 is:  f(x) = 33.0
Best solution in generation 350 is:  f(x) = 33.0
Best solution in generation 351 is:  f(x) = 33.0
Best solution in generation 352 is:  f(x) = 33.0
Best solution in generation 353 is:  f(x) = 33.0
Best solution in generation 354 is:  f(x) = 33.0
Best solution in generation 355 is:  f(x) = 33.0
Best solution in generation 356 is:  f(x) = 33.0
Best solution in generation 357 is:  f(x) = 33.0
Best solution in generation 358 is:  f(x) = 33.0
Best solution in generation 359 is:  f(x) = 33.0
Best solution in generation 360 is:  f(x) = 33.0
Best solution in generation 361 is:  f(x) = 33.0
Best solution in generation 362 is:  f(x) = 33.0
Best solution in generation 363 is:  f(x) = 33.0
Best solution in generation 364 is:  f(x) = 33.0
Best solution in generation 365 is:  f(x) = 33.0
Best solution in generation 366 is:  f(x) = 33.0
Best solution in generation 367 is:  f(x) = 33.0
Best solution in generation 368 is:  f(x) = 33.0
Best solution in generation 369 is:  f(x) = 33.0
Best solution in generation 370 is:  f(x) = 33.0
Best solution in generation 371 is:  f(x) = 33.0
Best solution in generation 372 is:  f(x) = 33.0
Best solution in generation 373 is:  f(x) = 33.0
Best solution in generation 374 is:  f(x) = 33.0
Best solution in generation 375 is:  f(x) = 33.0
Best solution in generation 376 is:  f(x) = 33.0
Best solution in generation 377 is:  f(x) = 33.0
Best solution in generation 378 is:  f(x) = 33.0
Best solution in generation 379 is:  f(x) = 33.0
Best solution in generation 380 is:  f(x) = 33.0
Best solution in generation 381 is:  f(x) = 33.0
Best solution in generation 382 is:  f(x) = 33.0
Best solution in generation 383 is:  f(x) = 33.0
Best solution in generation 384 is:  f(x) = 33.0
Best solution in generation 385 is:  f(x) = 33.0
Best solution in generation 386 is:  f(x) = 33.0
Best solution in generation 387 is:  f(x) = 33.0
Best solution in generation 388 is:  f(x) = 33.0
Best solution in generation 389 is:  f(x) = 33.0
Best solution in generation 390 is:  f(x) = 33.0
Best solution in generation 391 is:  f(x) = 33.0
Best solution in generation 392 is:  f(x) = 33.0
Best solution in generation 393 is:  f(x) = 33.0
Best solution in generation 394 is:  f(x) = 33.0
Best solution in generation 395 is:  f(x) = 33.0
Best solution in generation 396 is:  f(x) = 33.0
Best solution in generation 397 is:  f(x) = 33.0
Best solution in generation 398 is:  f(x) = 33.0
Best solution in generation 399 is:  f(x) = 33.0
Best solution in generation 400 is:  f(x) = 33.0
Best solution in generation 401 is:  f(x) = 33.0
Best solution in generation 402 is:  f(x) = 33.0
Best solution in generation 403 is:  f(x) = 33.0
Best solution in generation 404 is:  f(x) = 33.0
Best solution in generation 405 is:  f(x) = 33.0
Best solution in generation 406 is:  f(x) = 33.0
Best solution in generation 407 is:  f(x) = 33.0
Best solution in generation 408 is:  f(x) = 33.0
Best solution in generation 409 is:  f(x) = 33.0
Best solution in generation 410 is:  f(x) = 33.0
Best solution in generation 411 is:  f(x) = 33.0
Best solution in generation 412 is:  f(x) = 33.0
Best solution in generation 413 is:  f(x) = 33.0
Best solution in generation 414 is:  f(x) = 33.0
Best solution in generation 415 is:  f(x) = 33.0
Best solution in generation 416 is:  f(x) = 33.0
Best solution in generation 417 is:  f(x) = 33.0
Best solution in generation 418 is:  f(x) = 33.0
Best solution in generation 419 is:  f(x) = 33.0
Best solution in generation 420 is:  f(x) = 33.0
Best solution in generation 421 is:  f(x) = 33.0
Best solution in generation 422 is:  f(x) = 33.0
Best solution in generation 423 is:  f(x) = 33.0
